id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_22951_00185		C6H15NO	6.254		missing SMILES		
draft_22951_00186		C6H7N	6.2620000000000005		missing SMILES		
draft_22951_00187		C6H13NO	6.263999999999999		missing SMILES		
draft_22951_00188		C7H9NO	6.282		missing SMILES		
draft_22951_00189		C8H9N3O	6.2935		missing SMILES		
draft_22951_00190		C5H6N2	6.304		missing SMILES		
draft_22951_00191		C6H13N5O	6.324		missing SMILES		
draft_22951_00192		C5H7N3	6.324		missing SMILES		
draft_22951_00193		C10H11NO4	6.324		missing SMILES		
draft_22951_00194		C12H14N2O4	6.324		missing SMILES		
draft_22951_00195		C4H9NO2	6.337999999999999		missing SMILES		
draft_22951_00196		C4H11N	6.345		missing SMILES		
draft_22951_00197		C7H15NO	6.354		missing SMILES		
draft_22951_00198		C6H7N5O	6.3585		missing SMILES		
draft_22951_00199		C6H15NO	6.364		missing SMILES		
draft_22951_00200		C5H9N	6.375		missing SMILES		
draft_22951_00201		C4H10N2	6.376		missing SMILES		
draft_22951_00202		C12H12N2O2	6.376		missing SMILES		
draft_22951_00203		C6H6N2	6.386		missing SMILES		
draft_22951_00205		C10H12N2O3	6.395		missing SMILES		
draft_22951_00206		C11H13NO2	6.415		missing SMILES		
draft_22951_00208		C13H9NO4	6.417		missing SMILES		
draft_22951_00209		C6H15N3	6.425		missing SMILES		
draft_22951_00210		C4H6N4S	6.425		missing SMILES		
draft_22951_00211		C7H17NO	6.426		missing SMILES		
draft_22951_00212		C7H7NO3	6.4270000000000005		missing SMILES		
draft_22951_00213		C6H8N2	6.4350000000000005		missing SMILES		
draft_22951_00214		C7H9N	6.458		missing SMILES		
draft_22951_00215		C7H9NO2	6.467		missing SMILES		
draft_22951_00217		C5H12N2	6.479		missing SMILES		
draft_22951_00218		C5H12N2	6.479		missing SMILES		
draft_22951_00219		C7H18N	6.481		missing SMILES		
draft_22951_00220		C9H18N2O	6.486000000000001		missing SMILES		
draft_22951_00221		C5H13N3	6.489999999999999		missing SMILES		
draft_22951_00222		C6H14N2	6.489999999999999		missing SMILES		
draft_22951_00223		C2H5N3S2	6.496		missing SMILES		
draft_22951_00224		C8H12N4O	6.496		missing SMILES		
draft_22951_00225		C7H8N2O	6.5		missing SMILES		
draft_22951_00226		C7H8N4O2	6.5035		missing SMILES		
draft_22951_00227		C4H12N2	6.510000000000001		missing SMILES		
draft_22951_00228		C3H10N2	6.510000000000001		missing SMILES		
draft_22951_00229		C4H12N2	6.510000000000001		missing SMILES		
draft_22951_00230		C5H11N	6.510000000000001		missing SMILES		
draft_22951_00231		C7H10N2	6.511		missing SMILES		
draft_22951_00232		C7H15N	6.521		missing SMILES		
draft_22951_00233		C7H11N3O2S	6.531000000000001		missing SMILES		
draft_22951_00234		C10H11NO2	6.5360000000000005		missing SMILES		
draft_22951_00235		C6H8N2	6.541		missing SMILES		
draft_22951_00236		C6H8N2	6.541		missing SMILES		
draft_22951_00237		C9H18N2O	6.546		missing SMILES		
draft_22951_00238		C6H14N2	6.5520000000000005		missing SMILES		
draft_22951_00239		C8H10N2S	6.5520000000000005		missing SMILES		
draft_22951_00240		C8H6N2O2	6.557		missing SMILES		
draft_22951_00241		C8H10N2O	6.5595		missing SMILES		
draft_22951_00242		C8H7N3	6.562		missing SMILES		
draft_22951_00243		C5H14N2	6.583		missing SMILES		
draft_22951_00244		C8H7N3O	6.587000000000001		missing SMILES		
draft_22951_00245		C23H27NO9	6.593		missing SMILES		
draft_22951_00246		C5H11N	6.598		missing SMILES		
draft_22951_00249		C6H13N	6.613		missing SMILES		
draft_22951_00250		C6H13N	6.613		missing SMILES		
draft_22951_00251		C7H11NO3	6.614		missing SMILES		
draft_22951_00252		C7H9N3	6.617		missing SMILES		
draft_22951_00254		C6H10N2	6.624		missing SMILES		
draft_22951_00255		C7H9NO	6.624		missing SMILES		
draft_22951_00256		C7H8N2O3	6.635000000000001		missing SMILES		
draft_22951_00257		C6H10N2	6.645		missing SMILES		
draft_22951_00258		C8H7N3	6.648		missing SMILES		
draft_22951_00259		C8H9NO2	6.649500000000001		missing SMILES		
draft_22951_00260		C6H8N2	6.655		missing SMILES		
draft_22951_00261		C7H9N	6.655		missing SMILES		
draft_22951_00262		C6H11N3	6.655		missing SMILES		
draft_22951_00263		C8H15NO	6.6610000000000005		missing SMILES		
draft_22951_00264		C8H8N2O3	6.665		missing SMILES		
draft_22951_00265		C6H14N2	6.666		missing SMILES		
draft_22951_00266		C7H9N	6.666		missing SMILES		
draft_22951_00267		C12H15NO2	6.668		missing SMILES		
draft_22951_00268		C7H9N	6.676		missing SMILES		
draft_22951_00269		C9H11NO2	6.686000000000001		missing SMILES		
draft_22951_00270		C6H14N2	6.697		missing SMILES		
draft_22951_00271		C6H14N2O	6.7090000000000005		missing SMILES		
draft_22951_00272		C8H12N2	6.717		missing SMILES		
draft_22951_00273		C4H11N	6.718		missing SMILES		
draft_22951_00274		C8H11N	6.7285		missing SMILES		
draft_22951_00275		C7H8N2O	6.729		missing SMILES		
draft_22951_00276		C9H9N3O3	6.748		missing SMILES		
draft_22951_00277		C9H17NO	6.761		missing SMILES		
draft_22951_00278		C10H20N2O	6.769		missing SMILES		
draft_22951_00279		C11H14N2O	6.769		missing SMILES		
draft_22951_00280		C8H13NO	6.779		missing SMILES		
draft_22951_00281		C7H5N3O	6.779		missing SMILES		
draft_22951_00282		C6H16N2	6.78		missing SMILES		
draft_22951_00283		C7H11NO	6.79		missing SMILES		
draft_22951_00284		C9H15NO	6.793		missing SMILES		
draft_22951_00285		C7H9N	6.8		missing SMILES		
draft_22951_00286		C9H11N3O	6.8		missing SMILES		
draft_22951_00287		C8H12N2	6.8		missing SMILES		
draft_22951_00288		C6H13NO2	6.809		missing SMILES		
draft_22951_00289		C10H20N2O2	6.8100000000000005		missing SMILES		
draft_22951_00291		C7H10N2	6.811000000000001		missing SMILES		
draft_22951_00292		C8H10N2O3	6.819999999999999		missing SMILES		
draft_22951_00293		C7H9N	6.821		missing SMILES		
draft_22951_00294		C8H10N2O	6.821		missing SMILES		
draft_22951_00295		C8H11NO	6.83		missing SMILES		
draft_22951_00296		C7H10N2	6.831		missing SMILES		
draft_22951_00297		C11H13N3O2	6.831		missing SMILES		
draft_22951_00298		C8H7N3	6.84		missing SMILES		
draft_22951_00299		C3H4N2	6.84		missing SMILES		
draft_22951_00300		C10H8N4O2	6.84		missing SMILES		
draft_22951_00301		C8H6N4	6.842		missing SMILES		
draft_22951_00302		C11H14N2O3	6.851		missing SMILES		
draft_22951_00303		C7H10N2	6.852		missing SMILES		
draft_22951_00304		C9H11N3	6.852		missing SMILES		
draft_22951_00305		C5H11NO	6.856		missing SMILES		
draft_22951_00306		C8H12N2	6.862		missing SMILES		
draft_22951_00307		C9H12N2O	6.872		missing SMILES		
draft_22951_00308		C7H9N	6.88		missing SMILES		
draft_22951_00309		C6H14N2	6.883		missing SMILES		
draft_22951_00310		C6H16N2	6.883		missing SMILES		
draft_22951_00311		C7H9N	6.883		missing SMILES		
draft_22951_00312		C7H11NO3	6.883		missing SMILES		
draft_22951_00313		C10H19N3O2	6.891		missing SMILES		
draft_22951_00315		C5H6N2	6.894		missing SMILES		
draft_22951_00316		C9H7N3O4	6.901		missing SMILES		
draft_22951_00317		C9H23N3	6.904		missing SMILES		
draft_22951_00318		C8H12N2O	6.904		missing SMILES		
draft_22951_00319		C12H14N2O4	6.904		missing SMILES		
draft_22951_00320		C8H16N2O3	6.904		missing SMILES		
draft_22951_00321		C7H11NO3	6.91		missing SMILES		
draft_22951_00322		C6H11N	6.914		missing SMILES		
draft_22951_00323		C10H12NO	6.914		missing SMILES		
draft_22951_00324		C8H11NO	6.914		missing SMILES		
draft_22951_00325		C7H9N5	6.921		missing SMILES		
draft_22951_00326		C7H18N2	6.924		missing SMILES		
draft_22951_00327		C11H10N2O	6.924		missing SMILES		
draft_22951_00328		C8H12N2	6.925		missing SMILES		
draft_22951_00329		C8H11N3O4	6.932		missing SMILES		
draft_22951_00330		C7H9N	6.9350000000000005		missing SMILES		
draft_22951_00331		C9H8N6O	6.941		missing SMILES		
